Racer Name,Round No,Heat No, Lap Count, Best Lap No, Best Lap Time,Best Clear Lap No,Best Clear Lap Time,Penalty Count, Total Time
BEG Tal Haliva (F1),1,1,3,2,00:00:02.3597361,2,00:00:02.3597361,0,00:00:15.3181733
BEG Eli Green (E4),1,1,3,4,00:00:02.5279355,4,00:00:02.5279355,0,00:00:14.0217736
BEG Amit Refael (F7),1,1,3,2,00:00:02.6077238,2,00:00:02.6077238,0,00:00:14.7256111
BEG Ofek Golan (E8),1,1,3,4,00:00:02.8318617,4,00:00:02.8318617,0,00:00:13.5097549
BEG Vadim Nemtsev (E8),2,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
BEG Yehonathan Porat (E4),2,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
BEG Itay Ben Ner (F7),2,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
BEG Dolev Vaknin (F1),2,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
BEG Adam Galmor (E8),3,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
BEG Imri Harlev (E4),3,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
BEG Ori Leshed (F7),3,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
BEG Nehemia Hadad (F1),3,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Barak Noy (E8),4,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Asaf Zada (E4),4,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Or Gueta (F7),4,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Shlomo Dallal (F1),4,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Ariye Hazan (E8),5,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Rubicon (E4),5,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Dor Smiloviz (F7),5,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Kfir Glass (F1),5,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Harel Harris (E8),6,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Shay Sevet (E4),6,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Daniel Mashraki (F7),6,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Adar Rosenfeld (F1),6,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV David Levy (E8),7,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Sharon Solomon (E4),7,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Noam Smadja (F7),7,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Hagay Ben Tovim (F1),7,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Amit Alexander (E8),8,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Reserved1 (E4),8,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Reserved2 (F7),8,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
ADV Reserved3 (F1),8,0,0,0,00:00:00,0,10675199.02:48:05.4775807,0,10675199.02:48:05.4775807
